OrderID,ProductID,ProductName,Category,QuantitySold,SellingPrice,DateOfSale,CustomerID,CustomerName,ContactEmail,PhoneNumber,DeliveryAddress,DeliveryDate,DeliveryStatus,Platform,ResellerName,CommissionPercentage
MEE-284047,PID-2173,Headphones,Books,6,952.25,2023-01-14,CUST-5635,John,customer123@example.com,+91-7531132982,"479 Street, City-33, State-20",2023-01-18,Delivered,Meesho,Reseller2,11.37
MEE-106767,PID-6667,Headphones,Books,3,875.35,2023-01-15,CUST-2953,Sam,customer469@example.com,+91-8930133248,"54 Street, City-73, State-16",2023-01-19,Cancelled,Meesho,Reseller2,6.6
MEE-955797,PID-9817,Phone,Fashion,6,573.28,2023-01-16,CUST-8937,Taylor,customer169@example.com,+91-7706071281,"24 Street, City-97, State-25",2023-01-20,Delivered,Meesho,Reseller1,11.9
MEE-174088,PID-1569,Phone,Accessories,3,738.9,2023-01-17,CUST-8609,Jane,customer896@example.com,+91-8704270774,"246 Street, City-95, State-24",2023-01-21,In Transit,Meesho,Reseller1,6.95
MEE-531757,PID-1546,Shoes,Electronics,6,986.62,2023-01-18,CUST-1832,Jane,customer539@example.com,+91-8019137807,"421 Street, City-7, State-19",2023-01-22,In Transit,Meesho,Reseller1,15.31
MEE-457337,PID-6728,Phone,Books,8,444.6,2023-01-19,CUST-1599,Sam,customer665@example.com,+91-9143992046,"400 Street, City-14, State-21",2023-01-23,Delivered,Meesho,Reseller3,11.84
MEE-702891,PID-6203,Book,Accessories,10,229.02,2023-01-20,CUST-3230,John,customer266@example.com,+91-7874377965,"239 Street, City-53, State-21",2023-01-24,Delivered,Meesho,Reseller1,13.33
MEE-385144,PID-3894,Laptop,Fashion,9,851.06,2023-01-21,CUST-3641,Alex,customer27@example.com,+91-7182664488,"63 Street, City-98, State-3",2023-01-25,Cancelled,Meesho,Reseller1,10.02
MEE-402527,PID-6121,Watch,Fashion,10,526.4,2023-01-22,CUST-4387,Sam,customer925@example.com,+91-8100399061,"210 Street, City-55, State-9",2023-01-26,Delivered,Meesho,Reseller2,7.88
MEE-217820,PID-1464,Book,Electronics,5,797.55,2023-01-23,CUST-6543,Jane,customer376@example.com,+91-9481925465,"246 Street, City-49, State-16",2023-01-27,Delivered,Meesho,Reseller1,13.72
MEE-617961,PID-3995,Watch,Books,2,131.62,2023-01-24,CUST-5427,Sam,customer854@example.com,+91-9602382238,"287 Street, City-18, State-23",2023-01-28,Delivered,Meesho,Reseller3,13.38
MEE-453547,PID-5636,Shoes,Books,9,560.97,2023-01-25,CUST-7179,Sam,customer582@example.com,+91-7795344244,"113 Street, City-95, State-23",2023-01-29,In Transit,Meesho,Reseller3,17.02
MEE-817081,PID-7475,Watch,Fashion,2,800.08,2023-01-26,CUST-4031,Sam,customer183@example.com,+91-8604509774,"37 Street, City-22, State-7",2023-01-30,Delivered,Meesho,Reseller3,15.37
MEE-448125,PID-8162,Book,Electronics,1,957.69,2023-01-27,CUST-2697,Jane,customer335@example.com,+91-7715652350,"266 Street, City-54, State-23",2023-01-31,Cancelled,Meesho,Reseller1,5.45
MEE-595610,PID-8836,Book,Electronics,5,416.72,2023-01-28,CUST-6503,Alex,customer155@example.com,+91-7051427405,"258 Street, City-26, State-14",2023-02-01,Cancelled,Meesho,Reseller1,6.1
MEE-370462,PID-5749,Headphones,Fashion,7,164.65,2023-01-29,CUST-4470,Sam,customer824@example.com,+91-8043728762,"246 Street, City-63, State-15",2023-02-02,Cancelled,Meesho,Reseller3,17.03
MEE-242395,PID-5554,Watch,Books,6,893.79,2023-01-30,CUST-1128,Chris,customer594@example.com,+91-8292483832,"51 Street, City-2, State-29",2023-02-03,In Transit,Meesho,Reseller1,13.39
MEE-382925,PID-4323,Watch,Books,10,859.4,2023-01-31,CUST-4133,John,customer180@example.com,+91-7701045164,"301 Street, City-73, State-25",2023-02-04,Delivered,Meesho,Reseller1,13.81
MEE-330313,PID-1209,Watch,Electronics,7,407.06,2023-02-01,CUST-5707,John,customer846@example.com,+91-9146143555,"275 Street, City-77, State-6",2023-02-05,Cancelled,Meesho,Reseller3,17.96
MEE-970353,PID-7771,Laptop,Books,1,564.5,2023-02-02,CUST-3480,Alex,customer291@example.com,+91-7678224059,"69 Street, City-57, State-8",2023-02-06,Cancelled,Meesho,Reseller2,15.24
MEE-234875,PID-3466,Headphones,Electronics,6,788.04,2023-02-03,CUST-5171,Chris,customer505@example.com,+91-7427356660,"145 Street, City-10, State-26",2023-02-07,In Transit,Meesho,Reseller3,10.84
MEE-545063,PID-6348,Shoes,Fashion,9,847.36,2023-02-04,CUST-1755,John,customer705@example.com,+91-9757059440,"449 Street, City-23, State-18",2023-02-08,In Transit,Meesho,Reseller3,17.57
MEE-255547,PID-3739,Phone,Electronics,4,874.78,2023-02-05,CUST-5179,Taylor,customer225@example.com,+91-8407663417,"75 Street, City-47, State-22",2023-02-09,In Transit,Meesho,Reseller2,7.5
MEE-795789,PID-5938,Watch,Books,6,111.52,2023-02-06,CUST-9545,Taylor,customer318@example.com,+91-8978332694,"176 Street, City-73, State-22",2023-02-10,Delivered,Meesho,Reseller1,14.97
MEE-753132,PID-2489,Shoes,Electronics,6,790.16,2023-02-07,CUST-1588,Jane,customer405@example.com,+91-9558022084,"471 Street, City-49, State-21",2023-02-11,Delivered,Meesho,Reseller1,19.29
MEE-204399,PID-1493,Headphones,Electronics,7,456.18,2023-02-08,CUST-2539,Chris,customer880@example.com,+91-7618633619,"96 Street, City-32, State-7",2023-02-12,Cancelled,Meesho,Reseller2,18.63
MEE-375192,PID-1142,Watch,Accessories,7,517.11,2023-02-09,CUST-3080,Alex,customer741@example.com,+91-8867021331,"491 Street, City-88, State-3",2023-02-13,Cancelled,Meesho,Reseller1,5.55
MEE-295377,PID-1262,Book,Books,6,373.94,2023-02-10,CUST-3293,John,customer952@example.com,+91-9977888511,"464 Street, City-4, State-21",2023-02-14,In Transit,Meesho,Reseller2,16.25
MEE-388542,PID-6909,Book,Accessories,2,131.72,2023-02-11,CUST-3115,Taylor,customer770@example.com,+91-9934932726,"240 Street, City-41, State-2",2023-02-15,In Transit,Meesho,Reseller2,8.0
MEE-558261,PID-5570,Shoes,Books,9,656.68,2023-02-12,CUST-1706,Chris,customer305@example.com,+91-8822405574,"51 Street, City-83, State-3",2023-02-16,Delivered,Meesho,Reseller1,5.07
MEE-958392,PID-3278,Headphones,Fashion,4,738.76,2023-02-13,CUST-2544,Jane,customer582@example.com,+91-8687384431,"202 Street, City-17, State-26",2023-02-17,Delivered,Meesho,Reseller2,11.85
MEE-309518,PID-1372,Headphones,Electronics,2,840.14,2023-02-14,CUST-3493,Sam,customer190@example.com,+91-9475196637,"54 Street, City-25, State-26",2023-02-18,Cancelled,Meesho,Reseller2,18.08
MEE-645928,PID-3710,Phone,Books,7,597.67,2023-02-15,CUST-7520,John,customer152@example.com,+91-7360124835,"49 Street, City-44, State-10",2023-02-19,Delivered,Meesho,Reseller3,9.95
MEE-417379,PID-1154,Laptop,Electronics,5,930.79,2023-02-16,CUST-1216,Taylor,customer611@example.com,+91-8331174505,"361 Street, City-37, State-6",2023-02-20,Cancelled,Meesho,Reseller2,16.69
MEE-232084,PID-9069,Phone,Books,4,644.51,2023-02-17,CUST-2804,John,customer761@example.com,+91-8037594376,"102 Street, City-21, State-26",2023-02-21,Delivered,Meesho,Reseller1,16.88
MEE-912978,PID-4288,Book,Electronics,1,352.17,2023-02-18,CUST-3878,Jane,customer993@example.com,+91-8373976283,"43 Street, City-38, State-6",2023-02-22,Delivered,Meesho,Reseller2,5.88
MEE-940798,PID-8047,Book,Fashion,2,261.58,2023-02-19,CUST-7525,Sam,customer727@example.com,+91-9812942191,"103 Street, City-66, State-18",2023-02-23,Delivered,Meesho,Reseller1,6.29
MEE-726835,PID-7185,Headphones,Electronics,10,227.83,2023-02-20,CUST-4517,John,customer498@example.com,+91-8004182698,"421 Street, City-34, State-3",2023-02-24,Cancelled,Meesho,Reseller1,15.54
MEE-775861,PID-4093,Headphones,Accessories,9,930.92,2023-02-21,CUST-9862,Sam,customer723@example.com,+91-9416571224,"183 Street, City-67, State-9",2023-02-25,In Transit,Meesho,Reseller1,5.86
MEE-304476,PID-7834,Laptop,Fashion,5,452.05,2023-02-22,CUST-7202,Jane,customer104@example.com,+91-8211196623,"130 Street, City-68, State-8",2023-02-26,Delivered,Meesho,Reseller1,9.75
MEE-973981,PID-3580,Shoes,Electronics,3,534.79,2023-02-23,CUST-8508,Chris,customer990@example.com,+91-8401345337,"52 Street, City-40, State-12",2023-02-27,In Transit,Meesho,Reseller2,17.24
MEE-572142,PID-1131,Phone,Electronics,9,559.64,2023-02-24,CUST-7870,Chris,customer964@example.com,+91-8695718810,"429 Street, City-91, State-11",2023-02-28,In Transit,Meesho,Reseller3,5.95
MEE-729576,PID-7991,Watch,Accessories,10,465.63,2023-02-25,CUST-1778,Jane,customer505@example.com,+91-7765478247,"102 Street, City-5, State-28",2023-03-01,Cancelled,Meesho,Reseller1,12.53
MEE-895754,PID-3982,Book,Fashion,4,823.29,2023-02-26,CUST-9475,Chris,customer4@example.com,+91-8296665111,"84 Street, City-45, State-22",2023-03-02,Cancelled,Meesho,Reseller1,15.35
MEE-322231,PID-1641,Phone,Electronics,8,160.53,2023-02-27,CUST-9007,Jane,customer870@example.com,+91-7095683022,"454 Street, City-56, State-26",2023-03-03,In Transit,Meesho,Reseller1,7.57
MEE-983441,PID-6053,Laptop,Accessories,10,966.16,2023-02-28,CUST-8460,Chris,customer750@example.com,+91-7445209257,"266 Street, City-66, State-13",2023-03-04,Cancelled,Meesho,Reseller2,9.17
MEE-828016,PID-1234,Shoes,Fashion,4,582.03,2023-03-01,CUST-7320,Sam,customer138@example.com,+91-8071026457,"37 Street, City-79, State-30",2023-03-05,Delivered,Meesho,Reseller1,5.15
MEE-548934,PID-1925,Phone,Books,1,398.91,2023-03-02,CUST-3183,Jane,customer434@example.com,+91-8239447184,"304 Street, City-16, State-25",2023-03-06,In Transit,Meesho,Reseller2,16.99
MEE-785035,PID-6705,Shoes,Fashion,8,800.93,2023-03-03,CUST-4686,Alex,customer727@example.com,+91-9477484853,"483 Street, City-73, State-2",2023-03-07,Delivered,Meesho,Reseller3,19.98
MEE-694186,PID-8893,Book,Books,3,810.71,2023-03-04,CUST-3843,Alex,customer359@example.com,+91-7660877214,"347 Street, City-2, State-10",2023-03-08,Cancelled,Meesho,Reseller1,15.03
MEE-271418,PID-9559,Laptop,Books,6,450.69,2023-03-05,CUST-9844,John,customer383@example.com,+91-9518733516,"251 Street, City-93, State-24",2023-03-09,Delivered,Meesho,Reseller2,16.57
MEE-554676,PID-1001,Watch,Fashion,3,722.83,2023-03-06,CUST-5934,Alex,customer403@example.com,+91-7022622863,"349 Street, City-86, State-26",2023-03-10,Cancelled,Meesho,Reseller3,9.53
MEE-528625,PID-1810,Book,Fashion,10,425.28,2023-03-07,CUST-1234,Alex,customer796@example.com,+91-9236148768,"475 Street, City-24, State-8",2023-03-11,Cancelled,Meesho,Reseller1,14.0
MEE-678203,PID-8516,Laptop,Accessories,3,241.11,2023-03-08,CUST-7782,Jane,customer121@example.com,+91-7321168922,"227 Street, City-35, State-6",2023-03-12,In Transit,Meesho,Reseller2,7.97
MEE-279336,PID-9643,Watch,Electronics,9,245.67,2023-03-09,CUST-9657,Sam,customer20@example.com,+91-7998330354,"379 Street, City-64, State-6",2023-03-13,In Transit,Meesho,Reseller2,12.79
MEE-399695,PID-5566,Book,Books,1,902.38,2023-03-10,CUST-1439,Taylor,customer506@example.com,+91-9445168597,"383 Street, City-79, State-30",2023-03-14,Delivered,Meesho,Reseller2,11.43
MEE-855104,PID-9331,Book,Books,3,992.97,2023-03-11,CUST-8460,Chris,customer373@example.com,+91-9554817759,"278 Street, City-24, State-26",2023-03-15,Delivered,Meesho,Reseller1,5.34
MEE-362828,PID-6962,Watch,Fashion,4,959.81,2023-03-12,CUST-1243,John,customer37@example.com,+91-8596540613,"143 Street, City-37, State-7",2023-03-16,In Transit,Meesho,Reseller1,7.94
MEE-831564,PID-3709,Phone,Accessories,10,375.04,2023-03-13,CUST-2036,Chris,customer285@example.com,+91-7243823019,"107 Street, City-3, State-27",2023-03-17,Cancelled,Meesho,Reseller3,5.69
MEE-923220,PID-3150,Shoes,Books,10,552.59,2023-03-14,CUST-4241,Sam,customer277@example.com,+91-7803799895,"244 Street, City-34, State-30",2023-03-18,Cancelled,Meesho,Reseller1,6.66
MEE-208089,PID-2528,Shoes,Fashion,10,134.58,2023-03-15,CUST-9677,Taylor,customer612@example.com,+91-7827443762,"381 Street, City-75, State-15",2023-03-19,In Transit,Meesho,Reseller2,11.28
MEE-654163,PID-8101,Laptop,Accessories,6,828.31,2023-03-16,CUST-6179,Alex,customer63@example.com,+91-7287871568,"390 Street, City-84, State-14",2023-03-20,In Transit,Meesho,Reseller1,10.4
MEE-821071,PID-3596,Watch,Books,2,365.58,2023-03-17,CUST-4693,Jane,customer963@example.com,+91-7871139693,"324 Street, City-70, State-1",2023-03-21,Delivered,Meesho,Reseller1,18.94
MEE-818025,PID-7163,Phone,Books,7,144.09,2023-03-18,CUST-3458,John,customer504@example.com,+91-9965317765,"243 Street, City-75, State-14",2023-03-22,Delivered,Meesho,Reseller1,17.6
MEE-883303,PID-8708,Book,Fashion,7,415.19,2023-03-19,CUST-6850,Alex,customer572@example.com,+91-7831036643,"135 Street, City-76, State-24",2023-03-23,In Transit,Meesho,Reseller3,19.65
MEE-982836,PID-6411,Laptop,Fashion,9,527.02,2023-03-20,CUST-7290,Chris,customer397@example.com,+91-7097698303,"169 Street, City-97, State-2",2023-03-24,Delivered,Meesho,Reseller2,9.06
MEE-148832,PID-1224,Phone,Electronics,6,967.89,2023-03-21,CUST-1583,Alex,customer104@example.com,+91-8974598351,"238 Street, City-76, State-7",2023-03-25,Cancelled,Meesho,Reseller2,15.19
MEE-727350,PID-8245,Shoes,Books,2,467.38,2023-03-22,CUST-5992,Sam,customer118@example.com,+91-8702560117,"312 Street, City-86, State-16",2023-03-26,Cancelled,Meesho,Reseller2,14.32
MEE-509892,PID-9981,Book,Accessories,8,512.42,2023-03-23,CUST-5159,Chris,customer665@example.com,+91-7810084237,"300 Street, City-88, State-26",2023-03-27,In Transit,Meesho,Reseller3,15.12
MEE-290098,PID-5830,Watch,Books,7,677.15,2023-03-24,CUST-4066,Taylor,customer977@example.com,+91-9319233463,"197 Street, City-35, State-9",2023-03-28,Delivered,Meesho,Reseller2,6.59
MEE-376781,PID-1687,Shoes,Electronics,3,327.92,2023-03-25,CUST-3907,Taylor,customer68@example.com,+91-8851279847,"19 Street, City-55, State-21",2023-03-29,Cancelled,Meesho,Reseller2,15.22
MEE-768811,PID-5828,Book,Accessories,7,387.13,2023-03-26,CUST-8420,Sam,customer124@example.com,+91-9645229966,"231 Street, City-60, State-18",2023-03-30,In Transit,Meesho,Reseller1,10.32
MEE-906789,PID-3193,Laptop,Electronics,7,899.78,2023-03-27,CUST-2996,Chris,customer136@example.com,+91-9636851775,"341 Street, City-68, State-11",2023-03-31,In Transit,Meesho,Reseller2,5.95
MEE-134727,PID-8716,Laptop,Fashion,3,893.42,2023-03-28,CUST-8077,Sam,customer31@example.com,+91-9173023394,"301 Street, City-87, State-15",2023-04-01,In Transit,Meesho,Reseller3,14.43
MEE-146465,PID-5633,Headphones,Fashion,1,972.56,2023-03-29,CUST-4493,Jane,customer968@example.com,+91-8938274843,"400 Street, City-10, State-12",2023-04-02,Delivered,Meesho,Reseller3,18.25
MEE-424178,PID-6176,Headphones,Fashion,10,671.45,2023-03-30,CUST-3332,Alex,customer557@example.com,+91-7626056515,"358 Street, City-21, State-15",2023-04-03,Delivered,Meesho,Reseller3,17.91
MEE-890545,PID-6967,Laptop,Electronics,5,474.96,2023-03-31,CUST-5022,Alex,customer641@example.com,+91-7317025999,"304 Street, City-46, State-5",2023-04-04,In Transit,Meesho,Reseller1,8.53
MEE-348812,PID-5482,Laptop,Fashion,2,731.72,2023-04-01,CUST-1175,Chris,customer848@example.com,+91-7146637448,"37 Street, City-79, State-4",2023-04-05,In Transit,Meesho,Reseller3,16.95
MEE-644395,PID-5003,Phone,Electronics,7,852.56,2023-04-02,CUST-5908,Chris,customer359@example.com,+91-8976851586,"174 Street, City-15, State-12",2023-04-06,In Transit,Meesho,Reseller1,12.75
MEE-680146,PID-7938,Shoes,Accessories,5,397.39,2023-04-03,CUST-3902,Taylor,customer856@example.com,+91-8627118973,"123 Street, City-100, State-25",2023-04-07,In Transit,Meesho,Reseller1,18.2
MEE-727605,PID-5154,Watch,Fashion,10,219.36,2023-04-04,CUST-9917,Sam,customer881@example.com,+91-7514367699,"451 Street, City-43, State-6",2023-04-08,Cancelled,Meesho,Reseller1,16.17
MEE-304604,PID-3181,Laptop,Electronics,7,400.62,2023-04-05,CUST-6411,Jane,customer65@example.com,+91-9802054046,"92 Street, City-69, State-25",2023-04-09,Cancelled,Meesho,Reseller2,17.1
MEE-464225,PID-9436,Phone,Books,9,464.2,2023-04-06,CUST-9880,Taylor,customer789@example.com,+91-9174266370,"6 Street, City-98, State-30",2023-04-10,Cancelled,Meesho,Reseller1,8.51
MEE-341589,PID-6903,Phone,Fashion,2,257.76,2023-04-07,CUST-3295,Alex,customer174@example.com,+91-7737633283,"208 Street, City-3, State-16",2023-04-11,Cancelled,Meesho,Reseller2,17.45
MEE-861332,PID-5324,Phone,Books,6,334.19,2023-04-08,CUST-2253,Alex,customer676@example.com,+91-8912978485,"58 Street, City-17, State-27",2023-04-12,In Transit,Meesho,Reseller2,5.18
MEE-905296,PID-2755,Laptop,Electronics,10,757.83,2023-04-09,CUST-3150,Chris,customer289@example.com,+91-8901532034,"149 Street, City-27, State-30",2023-04-13,In Transit,Meesho,Reseller2,5.47
MEE-704891,PID-1611,Book,Electronics,10,756.45,2023-04-10,CUST-6375,Chris,customer231@example.com,+91-8654183823,"477 Street, City-24, State-24",2023-04-14,Delivered,Meesho,Reseller2,14.35
MEE-247714,PID-5967,Laptop,Accessories,7,808.24,2023-04-11,CUST-8607,John,customer625@example.com,+91-9668265976,"42 Street, City-8, State-19",2023-04-15,Cancelled,Meesho,Reseller2,9.19
MEE-121702,PID-7824,Phone,Fashion,4,313.94,2023-04-12,CUST-7651,Sam,customer601@example.com,+91-7225517862,"98 Street, City-29, State-6",2023-04-16,Delivered,Meesho,Reseller3,16.49
MEE-497312,PID-3989,Laptop,Accessories,9,257.25,2023-04-13,CUST-8240,John,customer871@example.com,+91-7051898253,"495 Street, City-99, State-2",2023-04-17,Cancelled,Meesho,Reseller1,15.77
MEE-359848,PID-7044,Phone,Accessories,9,657.71,2023-04-14,CUST-9152,Alex,customer239@example.com,+91-9254628258,"328 Street, City-30, State-20",2023-04-18,Cancelled,Meesho,Reseller1,6.01
MEE-441408,PID-5975,Shoes,Books,10,323.08,2023-04-15,CUST-1966,Alex,customer910@example.com,+91-7950245330,"482 Street, City-46, State-11",2023-04-19,In Transit,Meesho,Reseller1,7.0
MEE-125776,PID-8393,Phone,Accessories,3,458.88,2023-04-16,CUST-7286,Sam,customer981@example.com,+91-9163937339,"191 Street, City-24, State-3",2023-04-20,Cancelled,Meesho,Reseller2,18.71
MEE-535132,PID-4343,Book,Books,9,663.24,2023-04-17,CUST-4844,Jane,customer620@example.com,+91-7504722486,"130 Street, City-90, State-13",2023-04-21,In Transit,Meesho,Reseller1,10.93
MEE-623350,PID-3548,Laptop,Books,4,575.84,2023-04-18,CUST-4185,Alex,customer42@example.com,+91-8856571098,"347 Street, City-97, State-13",2023-04-22,Delivered,Meesho,Reseller3,12.7
MEE-620960,PID-8709,Phone,Books,10,789.54,2023-04-19,CUST-6663,Alex,customer835@example.com,+91-8203803955,"145 Street, City-94, State-19",2023-04-23,Delivered,Meesho,Reseller2,15.64
MEE-631342,PID-7265,Headphones,Electronics,1,477.25,2023-04-20,CUST-8704,Alex,customer425@example.com,+91-8702834151,"106 Street, City-47, State-19",2023-04-24,In Transit,Meesho,Reseller3,7.65
MEE-774032,PID-4685,Phone,Books,6,233.28,2023-04-21,CUST-3051,John,customer261@example.com,+91-8714680542,"495 Street, City-47, State-26",2023-04-25,Delivered,Meesho,Reseller1,8.7
MEE-682385,PID-8879,Phone,Accessories,4,743.31,2023-04-22,CUST-2751,Jane,customer489@example.com,+91-8114703387,"483 Street, City-50, State-6",2023-04-26,In Transit,Meesho,Reseller1,15.81
MEE-686978,PID-7215,Laptop,Electronics,9,433.19,2023-04-23,CUST-7298,Taylor,customer787@example.com,+91-7546139895,"17 Street, City-25, State-5",2023-04-27,Cancelled,Meesho,Reseller3,13.52
MEE-188340,PID-8023,Watch,Electronics,3,699.53,2023-04-24,CUST-6142,Taylor,customer968@example.com,+91-7101222016,"486 Street, City-44, State-3",2023-04-28,Delivered,Meesho,Reseller2,12.95
MEE-915511,PID-7322,Shoes,Accessories,9,312.44,2023-04-25,CUST-3553,Sam,customer934@example.com,+91-8602896390,"37 Street, City-36, State-24",2023-04-29,Delivered,Meesho,Reseller2,12.35
MEE-425716,PID-5933,Book,Fashion,6,439.0,2023-04-26,CUST-7681,Sam,customer772@example.com,+91-7879290924,"136 Street, City-14, State-2",2023-04-30,In Transit,Meesho,Reseller3,5.89
MEE-962200,PID-6380,Laptop,Accessories,6,118.48,2023-04-27,CUST-2180,John,customer736@example.com,+91-9978428818,"494 Street, City-23, State-29",2023-05-01,Delivered,Meesho,Reseller3,18.9
MEE-288564,PID-9887,Headphones,Fashion,7,112.18,2023-04-28,CUST-3712,Jane,customer250@example.com,+91-8427092302,"97 Street, City-48, State-21",2023-05-02,Delivered,Meesho,Reseller2,8.3
MEE-483556,PID-6654,Headphones,Books,6,936.23,2023-04-29,CUST-3185,Jane,customer93@example.com,+91-8526528055,"10 Street, City-50, State-25",2023-05-03,Cancelled,Meesho,Reseller2,18.15
MEE-220605,PID-4581,Headphones,Electronics,3,184.01,2023-04-30,CUST-5263,John,customer724@example.com,+91-8507173972,"344 Street, City-49, State-26",2023-05-04,Delivered,Meesho,Reseller3,11.13
MEE-607826,PID-9258,Laptop,Fashion,7,151.61,2023-05-01,CUST-4386,Taylor,customer827@example.com,+91-7876060664,"78 Street, City-29, State-12",2023-05-05,Cancelled,Meesho,Reseller2,11.87
MEE-934620,PID-8648,Book,Accessories,8,445.8,2023-05-02,CUST-4755,Alex,customer661@example.com,+91-8600084453,"141 Street, City-70, State-21",2023-05-06,In Transit,Meesho,Reseller3,18.5
MEE-590233,PID-2080,Book,Fashion,3,509.88,2023-05-03,CUST-6111,Taylor,customer309@example.com,+91-7597907657,"68 Street, City-85, State-4",2023-05-07,Cancelled,Meesho,Reseller1,9.39
MEE-371834,PID-5038,Phone,Books,5,497.93,2023-05-04,CUST-6199,Taylor,customer790@example.com,+91-7530498637,"130 Street, City-100, State-23",2023-05-08,Delivered,Meesho,Reseller2,19.6
MEE-913154,PID-4839,Book,Electronics,4,871.75,2023-05-05,CUST-1838,Chris,customer51@example.com,+91-7955262938,"453 Street, City-90, State-28",2023-05-09,Delivered,Meesho,Reseller1,14.58
MEE-357565,PID-1884,Phone,Books,4,750.68,2023-05-06,CUST-1368,Jane,customer403@example.com,+91-7826562464,"257 Street, City-3, State-16",2023-05-10,Cancelled,Meesho,Reseller1,6.6
MEE-463649,PID-9460,Book,Accessories,4,402.36,2023-05-07,CUST-6642,Chris,customer21@example.com,+91-9966358124,"186 Street, City-50, State-17",2023-05-11,Delivered,Meesho,Reseller1,18.69
MEE-716890,PID-7795,Book,Accessories,10,395.71,2023-05-08,CUST-5218,John,customer270@example.com,+91-7773523121,"75 Street, City-24, State-25",2023-05-12,In Transit,Meesho,Reseller2,5.63
MEE-361136,PID-6829,Laptop,Accessories,1,984.43,2023-05-09,CUST-5767,Chris,customer890@example.com,+91-7444210373,"128 Street, City-78, State-26",2023-05-13,In Transit,Meesho,Reseller1,17.84
MEE-114236,PID-4831,Watch,Books,4,950.79,2023-05-10,CUST-7951,Taylor,customer475@example.com,+91-9614312287,"308 Street, City-25, State-22",2023-05-14,Cancelled,Meesho,Reseller1,19.64
MEE-342713,PID-3370,Headphones,Electronics,8,852.4,2023-05-11,CUST-6650,Taylor,customer296@example.com,+91-9619502198,"333 Street, City-37, State-15",2023-05-15,Cancelled,Meesho,Reseller3,16.2
MEE-871444,PID-6927,Phone,Accessories,2,611.3,2023-05-12,CUST-5809,Taylor,customer986@example.com,+91-7625851427,"133 Street, City-63, State-20",2023-05-16,Delivered,Meesho,Reseller1,16.01
MEE-216032,PID-7968,Laptop,Books,10,284.9,2023-05-13,CUST-5441,John,customer799@example.com,+91-8742037672,"391 Street, City-49, State-6",2023-05-17,Cancelled,Meesho,Reseller2,8.84
MEE-387172,PID-3422,Watch,Fashion,2,827.63,2023-05-14,CUST-9403,John,customer559@example.com,+91-8628508064,"121 Street, City-98, State-25",2023-05-18,Delivered,Meesho,Reseller1,9.61
