OrderID,ProductID,ProductName,Category,QuantitySold,SellingPrice,DateOfSale,CustomerID,CustomerName,ContactEmail,PhoneNumber,DeliveryAddress,DeliveryDate,DeliveryStatus,Platform,CouponUsed,ReturnWindow
FLI-753169,PID-1632,Phone,Electronics,6,214.82,11-01-23,CUST-7168,Chris,customer975@example.com,-8664125864,"413 Street, City-45, State-11",15-01-23,In Transit,Flipkart,TRUE,9
FLI-113304,PID-3717,Shoes,Fashion,5,185.02,12-01-23,CUST-7752,Jane,customer781@example.com,-9935317725,"455 Street, City-53, State-29",16-01-23,Delivered,Flipkart,TRUE,19
FLI-834431,PID-5621,Headphones,Electronics,2,196.32,13-01-23,CUST-3434,Taylor,customer587@example.com,-8437859087,"437 Street, City-34, State-12",17-01-23,In Transit,Flipkart,FALSE,24
FLI-108385,PID-3348,Watch,Electronics,2,653.09,14-01-23,CUST-3211,Sam,customer820@example.com,-7809659021,"244 Street, City-80, State-11",18-01-23,Delivered,Flipkart,TRUE,17
FLI-359348,PID-3467,Shoes,Fashion,1,887.69,15-01-23,CUST-3762,Taylor,customer313@example.com,-8594228040,"285 Street, City-96, State-30",19-01-23,Cancelled,Flipkart,TRUE,11
FLI-673413,PID-9613,Headphones,Books,9,696.63,16-01-23,CUST-8935,Jane,customer417@example.com,-7498225531,"90 Street, City-29, State-21",20-01-23,In Transit,Flipkart,FALSE,8
FLI-423399,PID-5049,Laptop,Accessories,5,311.52,17-01-23,CUST-5720,Alex,customer939@example.com,-7714826159,"397 Street, City-70, State-15",21-01-23,In Transit,Flipkart,TRUE,22
FLI-421785,PID-8986,Laptop,Electronics,6,382,18-01-23,CUST-6453,John,customer911@example.com,-9220296692,"423 Street, City-40, State-26",22-01-23,Delivered,Flipkart,FALSE,21
FLI-249935,PID-9745,Shoes,Fashion,4,628.65,19-01-23,CUST-8326,Alex,customer88@example.com,-9866485189,"289 Street, City-66, State-17",23-01-23,Delivered,Flipkart,FALSE,11
FLI-740433,PID-2647,Shoes,Fashion,3,394.47,20-01-23,CUST-4992,Alex,customer189@example.com,-8130677323,"158 Street, City-2, State-6",24-01-23,In Transit,Flipkart,TRUE,7
FLI-629901,PID-3568,Phone,Fashion,10,493.2,21-01-23,CUST-4823,Sam,customer831@example.com,-9188455738,"203 Street, City-60, State-2",25-01-23,Cancelled,Flipkart,FALSE,28
FLI-306886,PID-2449,Laptop,Accessories,10,721.51,22-01-23,CUST-2229,Sam,customer269@example.com,-8973130434,"39 Street, City-49, State-24",26-01-23,Cancelled,Flipkart,FALSE,17
FLI-930279,PID-1433,Phone,Fashion,3,403.21,23-01-23,CUST-3973,John,customer846@example.com,-9188877604,"147 Street, City-30, State-19",27-01-23,In Transit,Flipkart,FALSE,14
FLI-483576,PID-1867,Watch,Fashion,7,164.78,24-01-23,CUST-4994,Alex,customer896@example.com,-7489529142,"76 Street, City-33, State-1",28-01-23,In Transit,Flipkart,FALSE,30
FLI-740439,PID-8203,Phone,Books,4,414.66,25-01-23,CUST-2097,Alex,customer482@example.com,-9458724021,"483 Street, City-3, State-15",29-01-23,Delivered,Flipkart,TRUE,13
FLI-294367,PID-5176,Headphones,Fashion,3,725.1,26-01-23,CUST-8891,Taylor,customer378@example.com,-7119913134,"212 Street, City-77, State-15",30-01-23,In Transit,Flipkart,FALSE,8
FLI-684942,PID-6187,Book,Fashion,1,373.42,27-01-23,CUST-2440,John,customer202@example.com,-7973108157,"424 Street, City-18, State-26",31-01-23,Cancelled,Flipkart,TRUE,24
FLI-812170,PID-3944,Headphones,Fashion,9,699.98,28-01-23,CUST-9137,Chris,customer170@example.com,-8539143197,"398 Street, City-64, State-13",01-02-23,In Transit,Flipkart,TRUE,17
FLI-948173,PID-5861,Watch,Accessories,9,850.08,29-01-23,CUST-1423,Alex,customer196@example.com,-9305489398,"186 Street, City-100, State-26",02-02-23,In Transit,Flipkart,TRUE,25
FLI-234398,PID-1415,Phone,Accessories,6,643.17,30-01-23,CUST-2351,Sam,customer868@example.com,-8305163120,"471 Street, City-74, State-30",03-02-23,Delivered,Flipkart,FALSE,23
FLI-742630,PID-5047,Shoes,Electronics,8,377.85,31-01-23,CUST-7659,Sam,customer107@example.com,-7719391097,"197 Street, City-31, State-6",04-02-23,In Transit,Flipkart,FALSE,24
FLI-301379,PID-7407,Laptop,Fashion,7,722.24,01-02-23,CUST-5942,John,customer832@example.com,-7069852236,"257 Street, City-6, State-11",05-02-23,In Transit,Flipkart,FALSE,26
FLI-929016,PID-7028,Laptop,Electronics,4,957.46,02-02-23,CUST-7566,Chris,customer263@example.com,-8125931729,"366 Street, City-88, State-22",06-02-23,Delivered,Flipkart,FALSE,11
FLI-255656,PID-8239,Shoes,Accessories,1,949.82,03-02-23,CUST-5827,Chris,customer732@example.com,-7247206453,"114 Street, City-85, State-25",07-02-23,Cancelled,Flipkart,FALSE,25
FLI-952620,PID-5677,Watch,Electronics,9,723.16,04-02-23,CUST-5863,Chris,customer510@example.com,-8038822896,"7 Street, City-85, State-8",08-02-23,Delivered,Flipkart,FALSE,12
FLI-233788,PID-1613,Shoes,Electronics,5,925.09,05-02-23,CUST-7801,Chris,customer690@example.com,-9654611591,"260 Street, City-22, State-5",09-02-23,Delivered,Flipkart,FALSE,19
FLI-893199,PID-8759,Phone,Fashion,1,154.16,06-02-23,CUST-5700,Sam,customer186@example.com,-7687104214,"226 Street, City-33, State-27",10-02-23,In Transit,Flipkart,TRUE,14
FLI-317121,PID-1603,Book,Electronics,1,528.88,07-02-23,CUST-9115,John,customer855@example.com,-8900233470,"487 Street, City-92, State-26",11-02-23,Delivered,Flipkart,TRUE,15
FLI-522116,PID-7125,Phone,Books,7,477.44,08-02-23,CUST-1313,Sam,customer587@example.com,-8714681846,"364 Street, City-97, State-26",12-02-23,Delivered,Flipkart,TRUE,18
FLI-306608,PID-2874,Shoes,Books,5,153.15,09-02-23,CUST-2138,Taylor,customer442@example.com,-8993324613,"379 Street, City-71, State-24",13-02-23,Delivered,Flipkart,FALSE,18
FLI-770187,PID-1628,Headphones,Accessories,8,526.2,10-02-23,CUST-1799,Chris,customer493@example.com,-9896644776,"243 Street, City-10, State-2",14-02-23,In Transit,Flipkart,TRUE,25
FLI-288112,PID-6925,Shoes,Books,5,946.48,11-02-23,CUST-9463,Taylor,customer16@example.com,-7267094610,"216 Street, City-1, State-7",15-02-23,Cancelled,Flipkart,FALSE,30
FLI-667210,PID-2861,Laptop,Books,9,646.75,12-02-23,CUST-2363,Alex,customer953@example.com,-8206237107,"396 Street, City-98, State-24",16-02-23,Delivered,Flipkart,TRUE,19
FLI-647076,PID-9181,Phone,Electronics,1,317.26,13-02-23,CUST-4042,John,customer728@example.com,-8388348346,"284 Street, City-31, State-24",17-02-23,Delivered,Flipkart,TRUE,26
FLI-742511,PID-1816,Headphones,Books,9,652.96,14-02-23,CUST-9477,Alex,customer329@example.com,-8934843693,"281 Street, City-18, State-21",18-02-23,In Transit,Flipkart,TRUE,29
FLI-974155,PID-9381,Headphones,Books,5,345.52,15-02-23,CUST-8935,Jane,customer714@example.com,-8227509716,"190 Street, City-6, State-3",19-02-23,In Transit,Flipkart,TRUE,7
FLI-216411,PID-5886,Book,Electronics,1,234.49,16-02-23,CUST-2272,Taylor,customer122@example.com,-7471788491,"470 Street, City-64, State-5",20-02-23,In Transit,Flipkart,FALSE,13
FLI-494806,PID-2332,Headphones,Books,1,419.35,17-02-23,CUST-8380,Taylor,customer77@example.com,-8555601957,"56 Street, City-30, State-20",21-02-23,Cancelled,Flipkart,FALSE,7
FLI-750561,PID-6058,Phone,Books,2,830.47,18-02-23,CUST-7961,John,customer291@example.com,-8372290148,"471 Street, City-39, State-28",22-02-23,Cancelled,Flipkart,FALSE,22
FLI-717064,PID-8489,Watch,Electronics,6,201.2,19-02-23,CUST-7559,Sam,customer415@example.com,-7532458130,"30 Street, City-93, State-13",23-02-23,In Transit,Flipkart,FALSE,16
FLI-453532,PID-5325,Phone,Books,10,852.47,20-02-23,CUST-6605,Chris,customer287@example.com,-7981192056,"159 Street, City-85, State-28",24-02-23,In Transit,Flipkart,FALSE,21
FLI-956330,PID-4161,Watch,Accessories,9,674.67,21-02-23,CUST-9260,John,customer471@example.com,-8959218439,"430 Street, City-89, State-4",25-02-23,In Transit,Flipkart,TRUE,8
FLI-303344,PID-2589,Phone,Accessories,2,581.53,22-02-23,CUST-8012,John,customer833@example.com,-7491795583,"156 Street, City-26, State-23",26-02-23,In Transit,Flipkart,FALSE,27
FLI-885914,PID-1140,Book,Books,3,108.49,23-02-23,CUST-8885,Sam,customer529@example.com,-7494467264,"69 Street, City-15, State-7",27-02-23,In Transit,Flipkart,TRUE,10
FLI-535866,PID-6070,Book,Electronics,7,587.11,24-02-23,CUST-1162,John,customer415@example.com,-9564659509,"128 Street, City-96, State-28",28-02-23,Delivered,Flipkart,TRUE,8
FLI-288426,PID-2296,Book,Electronics,2,654.52,25-02-23,CUST-8099,Chris,customer237@example.com,-7737384812,"254 Street, City-25, State-20",01-03-23,In Transit,Flipkart,FALSE,22
FLI-468587,PID-7397,Shoes,Accessories,7,726.25,26-02-23,CUST-4798,Chris,customer625@example.com,-7265742909,"34 Street, City-72, State-7",02-03-23,Delivered,Flipkart,TRUE,21
FLI-244570,PID-8700,Book,Accessories,10,329.58,27-02-23,CUST-8506,Jane,customer823@example.com,-8577114561,"420 Street, City-37, State-8",03-03-23,Cancelled,Flipkart,TRUE,25
FLI-760824,PID-7856,Book,Books,9,534.61,28-02-23,CUST-9729,John,customer52@example.com,-9874392215,"424 Street, City-99, State-28",04-03-23,Delivered,Flipkart,TRUE,18
FLI-189871,PID-8191,Watch,Accessories,10,603.74,01-03-23,CUST-3811,John,customer150@example.com,-9754622232,"476 Street, City-71, State-26",05-03-23,Cancelled,Flipkart,TRUE,21
FLI-491714,PID-6648,Laptop,Books,3,836.88,02-03-23,CUST-6401,Sam,customer643@example.com,-7644800873,"36 Street, City-65, State-5",06-03-23,Cancelled,Flipkart,FALSE,9
FLI-765378,PID-3841,Headphones,Electronics,3,892.37,03-03-23,CUST-3646,Alex,customer200@example.com,-7392985996,"360 Street, City-4, State-27",07-03-23,Delivered,Flipkart,FALSE,30
FLI-183204,PID-3111,Headphones,Fashion,7,742.48,04-03-23,CUST-5101,Chris,customer575@example.com,-7752001208,"38 Street, City-78, State-9",08-03-23,Cancelled,Flipkart,TRUE,27
FLI-679286,PID-1913,Laptop,Fashion,1,573.95,05-03-23,CUST-7913,John,customer197@example.com,-8564669045,"300 Street, City-97, State-5",09-03-23,In Transit,Flipkart,TRUE,7
FLI-846068,PID-1931,Phone,Electronics,3,344,06-03-23,CUST-5182,John,customer301@example.com,-7547717399,"180 Street, City-12, State-14",10-03-23,Cancelled,Flipkart,TRUE,14
FLI-238864,PID-6090,Shoes,Fashion,4,604.33,07-03-23,CUST-8072,Sam,customer868@example.com,-8867218086,"15 Street, City-7, State-28",11-03-23,In Transit,Flipkart,FALSE,24
FLI-626704,PID-1398,Watch,Fashion,4,422.67,08-03-23,CUST-2337,Alex,customer26@example.com,-7271134733,"230 Street, City-23, State-23",12-03-23,Delivered,Flipkart,FALSE,28
FLI-866509,PID-4861,Watch,Accessories,4,949.54,09-03-23,CUST-7667,John,customer355@example.com,-9499429211,"113 Street, City-52, State-10",13-03-23,Delivered,Flipkart,TRUE,26
FLI-179266,PID-4828,Phone,Electronics,7,269.27,10-03-23,CUST-3993,John,customer358@example.com,-9761162035,"245 Street, City-7, State-14",14-03-23,Delivered,Flipkart,FALSE,14
FLI-666189,PID-3447,Laptop,Electronics,4,284.96,11-03-23,CUST-8984,Chris,customer873@example.com,-7689842270,"197 Street, City-66, State-23",15-03-23,In Transit,Flipkart,FALSE,27
FLI-704977,PID-5745,Laptop,Electronics,9,232.34,12-03-23,CUST-2340,Taylor,customer328@example.com,-9119347317,"90 Street, City-6, State-21",16-03-23,Cancelled,Flipkart,TRUE,19
FLI-504034,PID-2909,Shoes,Electronics,9,978.73,13-03-23,CUST-8832,Sam,customer304@example.com,-8969786146,"496 Street, City-68, State-22",17-03-23,In Transit,Flipkart,TRUE,30
FLI-117808,PID-9441,Laptop,Fashion,8,872.76,14-03-23,CUST-4378,Alex,customer228@example.com,-9557351800,"329 Street, City-22, State-2",18-03-23,Delivered,Flipkart,FALSE,23
FLI-371330,PID-7865,Shoes,Fashion,6,717.85,15-03-23,CUST-7472,Sam,customer471@example.com,-7357862178,"461 Street, City-64, State-26",19-03-23,In Transit,Flipkart,TRUE,22
FLI-766691,PID-4545,Watch,Books,9,642.46,16-03-23,CUST-2319,Jane,customer647@example.com,-8831114893,"11 Street, City-21, State-20",20-03-23,Delivered,Flipkart,TRUE,27
FLI-798439,PID-7830,Book,Books,3,736.5,17-03-23,CUST-9001,Sam,customer767@example.com,-8884836922,"100 Street, City-89, State-8",21-03-23,In Transit,Flipkart,FALSE,8
FLI-990244,PID-2462,Headphones,Electronics,9,495.05,18-03-23,CUST-5996,Chris,customer297@example.com,-7647618247,"386 Street, City-19, State-2",22-03-23,Delivered,Flipkart,FALSE,10
FLI-784495,PID-1487,Laptop,Fashion,6,720.67,19-03-23,CUST-7005,Jane,customer931@example.com,-8447739029,"227 Street, City-24, State-9",23-03-23,Delivered,Flipkart,FALSE,11
FLI-496028,PID-8656,Phone,Accessories,2,731.56,20-03-23,CUST-2453,Alex,customer961@example.com,-8307539085,"168 Street, City-70, State-11",24-03-23,Delivered,Flipkart,FALSE,13
FLI-246093,PID-5358,Laptop,Accessories,5,307.37,21-03-23,CUST-6623,Alex,customer746@example.com,-9252483084,"59 Street, City-29, State-30",25-03-23,In Transit,Flipkart,TRUE,27
FLI-431791,PID-7963,Watch,Electronics,1,590.96,22-03-23,CUST-8004,Taylor,customer655@example.com,-7013772465,"197 Street, City-33, State-18",26-03-23,In Transit,Flipkart,FALSE,29
FLI-692577,PID-8613,Headphones,Electronics,2,134.71,23-03-23,CUST-8329,Jane,customer514@example.com,-9270368995,"270 Street, City-46, State-16",27-03-23,Cancelled,Flipkart,FALSE,8
FLI-915281,PID-6873,Book,Fashion,1,508.07,24-03-23,CUST-5349,Taylor,customer786@example.com,-9958957790,"218 Street, City-70, State-15",28-03-23,Cancelled,Flipkart,FALSE,14
FLI-648313,PID-8799,Book,Books,3,623.33,25-03-23,CUST-2396,Taylor,customer928@example.com,-9525984657,"382 Street, City-92, State-24",29-03-23,Delivered,Flipkart,TRUE,8
FLI-271593,PID-8762,Headphones,Books,5,806.3,26-03-23,CUST-2889,John,customer483@example.com,-8601090547,"182 Street, City-81, State-20",30-03-23,Cancelled,Flipkart,TRUE,25
FLI-751247,PID-6365,Shoes,Books,8,240.49,27-03-23,CUST-2359,Chris,customer126@example.com,-7624780978,"460 Street, City-68, State-12",31-03-23,Cancelled,Flipkart,FALSE,14
FLI-753880,PID-3012,Shoes,Fashion,6,367.03,28-03-23,CUST-3391,Sam,customer616@example.com,-8970555567,"409 Street, City-60, State-5",01-04-23,Delivered,Flipkart,FALSE,22
FLI-661588,PID-8551,Watch,Accessories,2,517.61,29-03-23,CUST-2693,Jane,customer720@example.com,-8468276577,"130 Street, City-81, State-1",02-04-23,Cancelled,Flipkart,FALSE,18
FLI-535089,PID-5635,Phone,Books,6,780.52,30-03-23,CUST-6689,John,customer258@example.com,-9858121477,"318 Street, City-96, State-23",03-04-23,In Transit,Flipkart,FALSE,14
FLI-410965,PID-8997,Shoes,Accessories,1,679.92,31-03-23,CUST-9423,Taylor,customer970@example.com,-7331892287,"244 Street, City-30, State-30",04-04-23,Cancelled,Flipkart,TRUE,17
FLI-577172,PID-6119,Book,Accessories,8,659.44,01-04-23,CUST-5329,Chris,customer224@example.com,-7681848242,"176 Street, City-98, State-10",05-04-23,Cancelled,Flipkart,TRUE,19
FLI-833082,PID-4872,Shoes,Books,5,235.63,02-04-23,CUST-2881,Chris,customer663@example.com,-7856667901,"478 Street, City-73, State-24",06-04-23,Cancelled,Flipkart,TRUE,28
FLI-794892,PID-5364,Laptop,Accessories,2,346.79,03-04-23,CUST-3748,Jane,customer41@example.com,-8685926172,"160 Street, City-63, State-5",07-04-23,Cancelled,Flipkart,TRUE,12
FLI-205709,PID-8133,Laptop,Fashion,6,873.71,04-04-23,CUST-6291,Chris,customer638@example.com,-8270129892,"369 Street, City-52, State-21",08-04-23,Delivered,Flipkart,FALSE,15
FLI-181981,PID-4058,Book,Electronics,8,366.1,05-04-23,CUST-6175,Jane,customer597@example.com,-9349911711,"452 Street, City-69, State-30",09-04-23,Cancelled,Flipkart,FALSE,17
FLI-486511,PID-3665,Book,Fashion,6,344.05,06-04-23,CUST-7877,Jane,customer15@example.com,-7698454656,"11 Street, City-60, State-2",10-04-23,Cancelled,Flipkart,FALSE,26
FLI-111865,PID-5412,Book,Electronics,1,328.01,07-04-23,CUST-5714,Taylor,customer207@example.com,-8054097697,"191 Street, City-6, State-24",11-04-23,In Transit,Flipkart,FALSE,20
FLI-154890,PID-2050,Phone,Electronics,10,938.75,08-04-23,CUST-6292,John,customer335@example.com,-9108224375,"162 Street, City-49, State-15",12-04-23,In Transit,Flipkart,TRUE,18
FLI-547004,PID-3610,Watch,Accessories,2,200.99,09-04-23,CUST-6873,Alex,customer117@example.com,-9776111553,"320 Street, City-60, State-24",13-04-23,In Transit,Flipkart,TRUE,23
FLI-955894,PID-2941,Shoes,Electronics,5,524.41,10-04-23,CUST-1734,Chris,customer340@example.com,-9959826161,"488 Street, City-7, State-6",14-04-23,In Transit,Flipkart,FALSE,12
FLI-784306,PID-1967,Shoes,Electronics,3,915.2,11-04-23,CUST-5029,Taylor,customer355@example.com,-7425943713,"368 Street, City-91, State-13",15-04-23,Cancelled,Flipkart,TRUE,17
FLI-612069,PID-1523,Headphones,Electronics,4,273.79,12-04-23,CUST-6762,Sam,customer578@example.com,-8542753477,"270 Street, City-7, State-3",16-04-23,Delivered,Flipkart,FALSE,24
FLI-762488,PID-7435,Shoes,Electronics,8,773.59,13-04-23,CUST-3985,Alex,customer114@example.com,-8269249551,"7 Street, City-12, State-22",17-04-23,In Transit,Flipkart,FALSE,20
FLI-929373,PID-1748,Shoes,Fashion,4,174.7,14-04-23,CUST-8285,Chris,customer522@example.com,-9027253068,"199 Street, City-23, State-24",18-04-23,In Transit,Flipkart,TRUE,17
FLI-752660,PID-1523,Watch,Fashion,8,839.3,15-04-23,CUST-9348,Taylor,customer908@example.com,-7463278870,"217 Street, City-18, State-3",19-04-23,In Transit,Flipkart,FALSE,11
FLI-431128,PID-9138,Headphones,Fashion,2,972.49,16-04-23,CUST-6246,Alex,customer634@example.com,-7163329550,"54 Street, City-93, State-19",20-04-23,Cancelled,Flipkart,TRUE,24
FLI-135266,PID-6763,Shoes,Accessories,9,339.03,17-04-23,CUST-3596,Jane,customer308@example.com,-8552875117,"299 Street, City-60, State-13",21-04-23,Cancelled,Flipkart,FALSE,16
FLI-968849,PID-6608,Phone,Fashion,10,879.86,18-04-23,CUST-5677,Jane,customer957@example.com,-7146480118,"85 Street, City-71, State-21",22-04-23,Delivered,Flipkart,FALSE,22
FLI-973002,PID-5994,Headphones,Books,10,878.42,19-04-23,CUST-5112,Chris,customer92@example.com,-9259356425,"285 Street, City-19, State-30",23-04-23,In Transit,Flipkart,TRUE,25
FLI-246020,PID-8834,Laptop,Fashion,9,441.98,20-04-23,CUST-1473,Chris,customer198@example.com,-7089969326,"2 Street, City-99, State-1",24-04-23,In Transit,Flipkart,FALSE,19
FLI-738068,PID-7066,Book,Fashion,6,206.21,21-04-23,CUST-3015,Taylor,customer210@example.com,-9041362149,"7 Street, City-27, State-20",25-04-23,In Transit,Flipkart,FALSE,29
FLI-967008,PID-3899,Laptop,Books,1,846.97,22-04-23,CUST-4439,Jane,customer984@example.com,-7259003617,"19 Street, City-56, State-1",26-04-23,Delivered,Flipkart,FALSE,18
FLI-318989,PID-3810,Shoes,Electronics,4,952.73,23-04-23,CUST-1874,Taylor,customer723@example.com,-8659412152,"92 Street, City-68, State-26",27-04-23,Delivered,Flipkart,FALSE,7
FLI-300045,PID-2108,Watch,Electronics,4,854.14,24-04-23,CUST-9041,Sam,customer27@example.com,-7280953285,"174 Street, City-39, State-5",28-04-23,In Transit,Flipkart,TRUE,16
FLI-753910,PID-4081,Book,Books,4,444.77,25-04-23,CUST-7672,Chris,customer724@example.com,-7186262762,"489 Street, City-13, State-12",29-04-23,Cancelled,Flipkart,TRUE,18
FLI-254876,PID-5896,Book,Fashion,2,885.41,26-04-23,CUST-4905,Taylor,customer4@example.com,-9961952266,"158 Street, City-29, State-22",30-04-23,Delivered,Flipkart,FALSE,20
FLI-800669,PID-1434,Headphones,Electronics,8,589.88,27-04-23,CUST-4242,John,customer681@example.com,-7951943412,"85 Street, City-65, State-14",01-05-23,Cancelled,Flipkart,FALSE,17
FLI-217846,PID-6618,Book,Fashion,9,526.57,28-04-23,CUST-7844,Jane,customer996@example.com,-8776168700,"26 Street, City-27, State-22",02-05-23,Delivered,Flipkart,TRUE,21
FLI-421273,PID-2420,Book,Fashion,6,292.06,29-04-23,CUST-4450,Sam,customer847@example.com,-8768912861,"351 Street, City-9, State-22",03-05-23,In Transit,Flipkart,TRUE,19
FLI-430391,PID-3461,Shoes,Fashion,10,272.52,30-04-23,CUST-7120,Taylor,customer81@example.com,-7317393922,"240 Street, City-30, State-24",04-05-23,Delivered,Flipkart,TRUE,29
FLI-777700,PID-9860,Phone,Books,6,226.5,01-05-23,CUST-3823,Sam,customer34@example.com,-8149790180,"224 Street, City-69, State-29",05-05-23,Delivered,Flipkart,TRUE,26
FLI-161128,PID-1178,Watch,Books,2,604.69,02-05-23,CUST-5240,Chris,customer616@example.com,-9062948518,"324 Street, City-82, State-2",06-05-23,Delivered,Flipkart,FALSE,7
FLI-691550,PID-4515,Book,Books,1,747.86,03-05-23,CUST-3744,Taylor,customer875@example.com,-8689512353,"413 Street, City-75, State-22",07-05-23,In Transit,Flipkart,TRUE,18
FLI-386260,PID-3369,Headphones,Books,6,936.46,04-05-23,CUST-9362,Sam,customer280@example.com,-7591057822,"61 Street, City-17, State-27",08-05-23,In Transit,Flipkart,TRUE,25
FLI-932704,PID-6971,Laptop,Books,8,285.53,05-05-23,CUST-1121,Sam,customer519@example.com,-8395700117,"313 Street, City-30, State-28",09-05-23,Cancelled,Flipkart,FALSE,8
FLI-455313,PID-4232,Laptop,Books,3,349.84,06-05-23,CUST-2566,Taylor,customer877@example.com,-7385684134,"25 Street, City-70, State-30",10-05-23,Delivered,Flipkart,TRUE,22
FLI-450310,PID-3952,Phone,Books,10,591.51,07-05-23,CUST-6156,Sam,customer979@example.com,-8464075930,"249 Street, City-42, State-18",11-05-23,In Transit,Flipkart,FALSE,17
FLI-849968,PID-5870,Headphones,Accessories,6,311.76,08-05-23,CUST-8592,Chris,customer53@example.com,-7448133769,"113 Street, City-38, State-5",12-05-23,In Transit,Flipkart,TRUE,10
FLI-552023,PID-1505,Shoes,Electronics,3,914.41,09-05-23,CUST-2310,Taylor,customer127@example.com,-7704793148,"239 Street, City-99, State-10",13-05-23,Cancelled,Flipkart,TRUE,15
FLI-623113,PID-2695,Watch,Electronics,7,295.85,10-05-23,CUST-1739,John,customer280@example.com,-9467696372,"335 Street, City-70, State-14",14-05-23,In Transit,Flipkart,FALSE,19
FLI-354133,PID-1644,Headphones,Accessories,2,330.72,11-05-23,CUST-9520,Taylor,customer216@example.com,-9087497148,"137 Street, City-35, State-13",15-05-23,Delivered,Flipkart,TRUE,17
FLI-845426,PID-2953,Headphones,Electronics,3,954.56,12-05-23,CUST-3302,Alex,customer491@example.com,-8806689138,"389 Street, City-79, State-22",16-05-23,In Transit,Flipkart,FALSE,12
FLI-535292,PID-1807,Shoes,Books,2,791.87,13-05-23,CUST-1015,Taylor,customer826@example.com,-7495788396,"341 Street, City-12, State-17",17-05-23,In Transit,Flipkart,FALSE,22
FLI-344810,PID-4166,Laptop,Accessories,2,637.25,14-05-23,CUST-8191,Jane,customer907@example.com,-7427018862,"57 Street, City-90, State-9",18-05-23,Delivered,Flipkart,FALSE,17
FLI-147733,PID-1234,Watch,Electronics,7,932.28,15-05-23,CUST-9896,Alex,customer688@example.com,-9638355125,"472 Street, City-31, State-9",19-05-23,Cancelled,Flipkart,TRUE,21
FLI-855305,PID-1981,Laptop,Books,6,286.31,16-05-23,CUST-3622,Sam,customer811@example.com,-9068471333,"394 Street, City-29, State-3",20-05-23,Delivered,Flipkart,FALSE,30
FLI-255938,PID-2865,Phone,Books,6,863.02,17-05-23,CUST-6612,Taylor,customer457@example.com,-7528850339,"17 Street, City-70, State-8",21-05-23,Delivered,Flipkart,TRUE,14
FLI-398056,PID-6866,Phone,Fashion,7,764.64,18-05-23,CUST-5904,John,customer189@example.com,-8806751446,"98 Street, City-10, State-20",22-05-23,In Transit,Flipkart,TRUE,21
FLI-429346,PID-1064,Phone,Books,10,951.45,19-05-23,CUST-8516,Jane,customer704@example.com,-9298751284,"448 Street, City-84, State-26",23-05-23,In Transit,Flipkart,FALSE,8
FLI-100057,PID-4207,Shoes,Books,7,644.95,20-05-23,CUST-4991,Chris,customer431@example.com,-8510747778,"490 Street, City-36, State-25",24-05-23,Cancelled,Flipkart,TRUE,10
FLI-477691,PID-3488,Book,Books,6,667.73,21-05-23,CUST-3571,Sam,customer520@example.com,-7480905682,"236 Street, City-26, State-27",25-05-23,Cancelled,Flipkart,TRUE,9
FLI-618539,PID-7697,Watch,Electronics,3,482.62,22-05-23,CUST-8438,Alex,customer189@example.com,-8426853988,"259 Street, City-85, State-16",26-05-23,Cancelled,Flipkart,TRUE,14
